Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.MaterialManager.Materials.PebbleMaterial,,,Pebble Material,Pebble Material,مادة الحصى,Kieselsteinmaterial,Material de piedrita,Matériau galet,पेबल मटीरियल,Material Kerikil,Materiale Ghiaia,小石の素材,자갈 재질,Materiał kamyki,Material de cascalho,,วัสดุกรวดกลาง,Çakıl Malzeme,Vật Liệu Đá Sỏi,小鹅卵石材质,小鹅卵石材质,卵石材質
Studio.MaterialManager.Materials.PlasticMaterial,,,Plastic Material,Plastic Material,مادة بلاستيكية,Plastikmaterial,Material de plástico,Matériau plastique,प्लास्टिक मटीरियल,Material Plastik,Materiale Plastica,プラスチック素材,플라스틱 재질,Materiał plastik,Material de plástico,,วัสดุพลาสติก,Plastik Malzeme,Vật Liệu Nhựa,塑料材质,塑料材质,塑膠材質
Studio.MaterialManager.Materials.RockMaterial,,,Rock Material,Rock Material,مادة صخرية,Felsmaterial,Material de roca,Matériau de roche,रॉक मटीरियल,Material Batu,Materiale Roccia,岩素材,바위 재질,Materiał skała,Material de rocha,,วัสดุหิน,Taş Malzeme,Vật Liệu Đá Tảng,岩石材质,岩石材质,岩石材質
Studio.MaterialManager.Materials.SaltMaterial,,,Salt Material,Salt Material,مادة الملح,Salzmaterial,Material de sal,Matériau de sel,सॉल्ट मटीरियल,Material Garam,Materiale Sale,塩の素材,소금 재질,Materiał sól,Material de sal,,วัสดุเกลือ,Tuz Malzeme,Vật Liệu Muối,盐材质,盐材质,鹽材質
Studio.MaterialManager.Materials.SandMaterial,,,Sand Material,Sand Material,مادة الرمل,Sandmaterial,Material de arena,Matériau de sable,सैंड मटीरियल,Material Pasir,Materiale Sabbia,砂素材,모래 재질,Materiał piasek,Material de areia,,วัสดุทราย,Kum Malzeme,Vật Liệu Cát,沙材质,沙材质,沙材質
Studio.MaterialManager.Materials.SlateMaterial,,,Slate Material,Slate Material,مادة حجر الأردواز,Schiefermaterial,Material de pizarra,Matériau ardoise,स्लेट मटीरियल,Material Batu Sabak,Materiale Ardesia,スレート素材,슬레이트 재질,Materiał łupek,Material de ardósia,,วัสดุหินชนวน,Arduvaz Malzeme,Vật Liệu Đá Phiến,石板材质,石板材质,板岩材質
Studio.MaterialManager.Materials.SandstoneMaterial,,,Sandstone Material,Sandstone Material,مادة الحجر الرملي,Sandsteinmaterial,Material de piedra arenisca,Matériau en grès,सैंडस्टोन मटीरियल,Material Batu Pasir,Materiale Arena,サンドストーン素材,사암 재질,Materiał piaskowiec,Material de arenito,,วัสดุหินทราย,Kum Taşı Malzeme,Vật Liệu Sa Thạch,砂岩材质,砂岩材质,砂岩材質
Studio.MaterialManager.Materials.SmoothPlasticMaterial,,,Smooth Plastic Material,Smooth Plastic Material,مادة بلاستيكية ناعمة,Glattes Plastikmaterial,Material de plástico liso,Matériau plastique lisse,समतल प्लास्टिक मटीरियल,Material Plastik Mulus,Materiale Plastica Liscia,なめらかなプラスチック素材,매끈한 플라스틱 재질,Materiał gładki plastik,Material de plástico liso,,วัสดุพลาสติกเรียบ,Pürüzsüz Plastik Malzeme,Vật Liệu Nhựa Hạt Mịn,平滑塑料材质,平滑塑料材质,平滑塑膠材質
Studio.MaterialManager.Materials.WaterMaterial,,,Water Material,Water Material,مادة الماء,Wassermaterial,Material de agua,Matériau d'eau,वाटर मटीरियल,Material Air,Materiale Acqua,水素材,물 재질,Materiał woda,Material de água,,วัสดุน้ำ,Su Malzeme,Vật Liệu Nước,水材质,水材质,水材質
Studio.MaterialManager.Materials.WoodMaterial,,,Wood Material,Wood Material,مادة الخشب,Holzmaterial,Material de madera,Matériau en bois,लकड़ी का मटीरियल,Material Kayu,Materiale Legno,木材の素材,목재 재질,Materiał drewno,Material de madeira,,วัสดุไม้,Ahşap Malzeme,Vật Liệu Gỗ,木材质,木材质,木材材質
