Key,Context,Example,Source,en-us
Studio.TerrainEditor.BrushSettings.FixedYPlane,,,Fixed Y Plane,Fixed Y Plane
Studio.TerrainEditor.BrushSettings.FixedYPlanePosition,,,Plane Position,Plane Position
Studio.TerrainEditor.EnumType.BrushMode,,,Brush Mode,Brush Mode
Studio.TerrainEditor.EnumType.BrushShape,,,Brush Shape,Brush Shape
Studio.TerrainEditor.EnumType.FillMode,,,Fill Mode,Fill Mode
Studio.TerrainEditor.EnumType.FlattenMode,,,Flatten Mode,Flatten Mode
Studio.TerrainEditor.EnumType.PlaneLock,,,Plane Lock,Plane Lock
Studio.TerrainEditor.EnumType.Snapping,,,Snapping,Snapping
Studio.TerrainEditor.Category.BiomeSettings,,,Biome Settings,Biome Settings
Studio.TerrainEditor.Category.BrushSettings,,,Brush Settings,Brush Settings
Studio.TerrainEditor.Category.ClearSettings,,,Clear Settings,Clear Settings
Studio.TerrainEditor.Category.HeightmapSettings,,,Heightmap Settings,Heightmap Settings
Studio.TerrainEditor.Category.MaterialSettings,,,Material Settings,Material Settings
Studio.TerrainEditor.Category.SeaLevelSettings,,,Sea Level Settings,Sea Level Settings
Studio.TerrainEditor.Category.SelectionSettings,,,Selection Settings,Selection Settings
Studio.TerrainEditor.Category.TransformSettings,,,Transform Settings,Transform Settings
Studio.TerrainEditor.Category.UpgradeSettings,,,UpgradeSettings,UpgradeSettings
Studio.TerrainEditor.UpgradeSettings.ActionButton,,,Upgrade,Upgrade
Studio.TerrainEditor.UpgradeSettings.LearnMore,,,Click [link] to learn more.,Click [link] to learn more.
Studio.TerrainEditor.UpgradeSettings.LearnMoreLink,,,here,here
Studio.TerrainEditor.Biome.Arctic,,,Arctic,Arctic
Studio.TerrainEditor.Biome.Canyons,,,Canyons,Canyons
Studio.TerrainEditor.Biome.Dunes,,,Dunes,Dunes
Studio.TerrainEditor.Biome.Hills,,,Hills,Hills
Studio.TerrainEditor.Biome.Lavascape,,,Lavascape,Lavascape
Studio.TerrainEditor.Biome.Marsh,,,Marsh,Marsh
Studio.TerrainEditor.Biome.Mountains,,,Mountains,Mountains
Studio.TerrainEditor.Biome.Plains,,,Plains,Plains
Studio.TerrainEditor.Biome.Water,,,Water,Water
