Key,Context,Source,en-us
Studio.App.RBXMainWindow.PublishToRobloxAsElps,,Publish to Roblox As...,Publish to Roblox As...
Studio.App.RBXMainWindow.PublishWholeGameElps,,Publish Whole Game...,Publish Whole Game...
Studio.App.RBXMainWindow.QuickFindScript,,Type to quickly open another script,Type to quickly open another script
Studio.App.RBXMainWindow.QuickFindScriptUseCtrlP,,"This Dialog is deprecated, please use Quick Open (Ctrl+P) instead","This Dialog is deprecated, please use Quick Open (Ctrl+P) instead"
Studio.App.RBXMainWindow.QuitApplication,,Quit the application; prompts to save documents,Quit the application; prompts to save documents
Studio.App.RBXMainWindow.RedoThePreviouslyUndo,,Redo the previously undone action,Redo the previously undone action
Studio.App.RBXMainWindow.ReloadPlugin,,Reload Plugin,Reload Plugin
Studio.App.RBXMainWindow.ReloadPluginTooltip,,Stop plugin execution and reload from disk (Note: this will lose any changes you may have made to the Plugin under Plugin Debug Service),Stop plugin execution and reload from disk (Note: this will lose any changes you may have made to the Plugin under Plugin Debug Service)
Studio.App.RBXMainWindow.ReloadScript,,Reload Script,Reload Script
Studio.App.RBXMainWindow.Rename,,Rename,Rename
Studio.App.RBXMainWindow.RenameDocumentSymbol,,Rename Document Symbol,Rename Document Symbol
Studio.App.RBXMainWindow.RenamesSelectedObject,,Renames selected object,Renames selected object
Studio.App.RBXMainWindow.RenderStats,,Render Stats,Render Stats
Studio.App.RBXMainWindow.ReplaceElps,,Replace...,Replace...
Studio.App.RBXMainWindow.ResetAllInstanceDefaults,,Rest all instance defaults,Rest all instance defaults
Studio.App.RBXMainWindow.ResetAllInstanceDefaultsTooltip,,Rest all instance defaults,Rest all instance defaults
Studio.App.RBXMainWindow.ResetDefaultInstanceProperties,,Reset Instance Defaults,Reset Instance Defaults
Studio.App.RBXMainWindow.ResetScriptZoom,,Reset Script Zoom,Reset Script Zoom
Studio.App.RBXMainWindow.ResetView,,Reset View,Reset View
Studio.App.RBXMainWindow.ResetWidgetToolbarPos,,Reset Widget and Toolbar position,Reset Widget and Toolbar position
Studio.App.RBXMainWindow.ResetsFontSize,,Reset font size,Reset font size
Studio.App.RBXMainWindow.ResizeCustomIncrement,,Set the resize grid to a custom increment,Set the resize grid to a custom increment
Studio.App.RBXMainWindow.ResizeObject,,Resize Object,Resize Object
Studio.App.RBXMainWindow.ResizeTool,,Resize Tool,Resize Tool
Studio.App.RBXMainWindow.ResumeScriptSync,,Resume Sync,Resume Sync
